,Offense_Description,Report_Date,Full_Address
690,Theft: All Other Larceny,06/14/2014 12:00:00 AM,9300 S IH 35 SB                                                                                     Austin TX 78745
691,Theft: All Other Larceny,07/27/2014 12:00:00 AM,2809 W WILLIAM CANNON DR                                                                            Austin TX 78745
692,Theft: BOV,07/31/2014 12:00:00 AM,506 NORMANDY ST                                                                                     Austin TX 78745
693,Theft: BOV,09/19/2014 12:00:00 AM,1515 SOUTHPORT DR                                                                                   Austin TX 78704
694,Theft: BOV,09/12/2014 12:00:00 AM,10000 RESEARCH BLVD SB                                                                              Austin TX 78759
695,Burglary: Breaking & Entering,07/30/2014 12:00:00 AM,5802 GLOUCESTER LN                                                                                  Austin TX 78723
696,Theft: BOV,03/19/2014 12:00:00 AM,3901 BISCAY DR                                                                                      Austin TX 78759
697,Burglary: Breaking & Entering,06/27/2014 12:00:00 AM,2725 LYLE RD                                                                                        Austin TX 78617
698,Theft: Auto Theft,12/19/2014 12:00:00 AM,600 BLOCK TRINITY ST                                                                                Austin TX 78701
699,Theft: Pocket Picking,11/14/2014 12:00:00 AM,617 RED RIVER ST                                                                                    Austin TX 78701
700,Theft: All Other Larceny,11/24/2014 12:00:00 AM,8800 PINEY POINT DR                                                                                 Austin TX 78729
701,Theft: BOV,07/17/2014 12:00:00 AM,1735 SPYGLASS DR                                                                                    Austin TX 78746
702,Theft: BOV,09/15/2014 12:00:00 AM,4803 FIELDSTONE DR                                                                                  Austin TX 78735
703,Theft: Shoplifting,07/31/2014 12:00:00 AM,4602 E STASSNEY LN                                                                                  Austin TX 78744
705,Theft: BOV,03/26/2014 12:00:00 AM,9607 RESEARCH BLVD SVRD NB                                                                          Austin TX 78759
706,Theft: BOV,03/08/2014 12:00:00 AM,4900 E OLTORF ST                                                                                    Austin TX 78741
707,Theft: All Other Larceny,05/21/2014 12:00:00 AM,2103 W ANDERSON LN                                                                                  Austin TX 78757
708,Theft: All Other Larceny,09/22/2014 12:00:00 AM,6000 MIDDLE FISKVILLE RD                                                                            Austin TX 78752
709,Theft: All Other Larceny,06/01/2014 12:00:00 AM,8220 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
710,Theft: Shoplifting,03/06/2014 12:00:00 AM,12900 N IH 35 SVRD SB                                                                               Austin TX 78753
711,Theft: All Other Larceny,07/01/2014 12:00:00 AM,11400 BURNET RD                                                                                     Austin TX 78758
712,Theft: Auto Theft,10/02/2014 12:00:00 AM,7500 S IH 35 SVRD SB                                                                                Austin TX 78745
713,Theft: All Other Larceny,08/19/2014 12:00:00 AM,1612 HARVEY ST                                                                                      Austin TX 78702
714,Theft: BOV,02/28/2014 12:00:00 AM,10000 RESEARCH BLVD SVRD SB                                                                         Austin TX 78759
715,Theft: All Other Larceny,06/02/2014 12:00:00 AM,9218 BALCONES CLUB DR                                                                               Austin TX 78750
716,Aggravated Assault,12/28/2014 12:00:00 AM,11111 RESEARCH BLVD SVRD NB                                                                         Austin TX 78759
717,Theft: Shoplifting,03/25/2014 12:00:00 AM,1201 BARBARA JORDAN BLVD                                                                            Austin TX 78723
719,Theft: All Other Larceny,07/19/2014 12:00:00 AM,5320 N IH 35 NB                                                                                     Austin TX 78723
720,Theft: Shoplifting,07/25/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
