PRIMARY_KEY,REP_DATE,REP_TIME,SEX,AGE_AT_OFFENSE,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201540073,1/4/15 00:00,59,F,23,HISPANIC OR LATINO,10300 BLOCK BURNET RD,NO = 2,,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119586,10114646,ADAM PD,7
201540074,1/4/15 00:00,233,M,23,ASIAN,1400 BLOCK N MOPAC EXPY NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3107544,10077108,BAKER,10
201540075,1/4/15 00:00,52,M,27,WHITE,1100 W 6TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3110419,10072168,GEORGE,9
201540115,1/4/15 00:00,138,M,21,HISPANIC OR LATINO,W PARMER LN / METRIC BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3129539,10123921,EDWARD,7
201540186,1/6/15 00:00,1048,M,24,HISPANIC OR LATINO,E ANDERSON LN SVRD WB / NORTHCREST BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125568,10098650,EDWARD,4
201540186,1/6/15 00:00,1048,M,23,HISPANIC OR LATINO,E ANDERSON LN SVRD WB / NORTHCREST BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125568,10098650,EDWARD,4
201540197,1/4/15 00:00,240,M,41,HISPANIC OR LATINO,2700 N MOPAC EXPY NB,NO = 2,,,,,3109221,10081804,BAKER,10
201540262,1/4/15 00:00,529,M,22,HISPANIC OR LATINO,2020 E RIVERSIDE DR,YES = 1,VIOLATION OF PENAL CODE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119503,10061035,HENR,3
201540269,1/4/15 00:00,513,F,25,WHITE,1100 BLOCK AIRPORT BLVD,NO = 2,,,,,3129519,10069208,CHARLIE,3
201540278,1/4/15 00:00,402,F,20,BLACK,OAK SPRINGS DR / AIRPORT BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3128435,10073082,CHARLIE,3
201540462,1/4/15 00:00,1014,M,19,BLACK,BURTON DR / WOODLAND AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119102,10059185,HENR,3
201540471,1/4/15 00:00,930,M,54,WHITE,1723 E OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116017,10057903,HENR,3
201540494,1/4/15 00:00,951,F,36,HISPANIC OR LATINO,102 W POWELL LN,YES = 1,PRE-EXISTING KNOWLEDGE,INCIDENTAL TO ARREST,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3126082,10100114,EDWARD,4
201540561,1/4/15 00:00,1118,M,26,BLACK,METRIC BLVD / GRACY FARMS LN,NO = 2,,,,,3125303,10118382,EDWARD,7
201540580,1/4/15 00:00,1138,F,48,HISPANIC OR LATINO,BOLM RD / ED BLUESTEIN BLVD SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3134240,10065954,CHARLIE,3
201540970,1/4/15 00:00,1709,M,21,HISPANIC OR LATINO,AIRPORT BLVD / E 53RD ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3122673,10087662,IDA,9
